suffix,status
AAA,Reserved
AAB,Reserved
AAC,Allocated
AAD,Allocated
AAE,Allocated
AAF,Allocated
AAG,Allocated
AAH,Allocated
AAI,Allocated
AAJ,Allocated
AAK,Allocated
AAL,Allocated
AAM,Allocated
AAN,Allocated
AAO,Allocated
AAP,Allocated
AAQ,Allocated
AAR,Allocated
AAS,Allocated
AAT,Reserved
AAU,Reserved
AAV,Reserved
AAW,Reserved
AAX,Allocated
AAY,Reserved
AAZ,Allocated
ABA,Reserved
ABB,Reserved
ABC,Reserved
ABD,Allocated
ABE,Reserved
ABF,Reserved
ABG,Reserved
ABH,Reserved
ABI,Reserved
ABJ,Reserved
ABK,Reserved
ABL,Allocated
ABM,Reserved
ABN,Reserved
ABO,Reserved
ABP,Reserved
ABQ,Reserved
ABR,Reserved
ABS,Reserved
ABT,Allocated
ABU,Reserved
ABV,Reserved
ABW,Allocated
ABX,Reserved
ABY,Reserved
ABZ,Reserved
ACA,Allocated
ACB,Reserved
ACC,Reserved
ACD,Allocated
ACE,Allocated
ACF,Reserved
ACG,Reserved
ACH,Reserved
ACI,Reserved
ACJ,Reserved
ACK,Reserved
ACL,Reserved
ACM,Reserved
ACN,Reserved
ACO,Allocated
ACP,Reserved
ACQ,Allocated
ACR,Allocated
ACS,Allocated
ACT,Reserved
ACU,Reserved
ACV,Allocated
ACW,Reserved
ACX,Reserved
ACY,Reserved
ACZ,Reserved
ADA,Allocated
ADB,Reserved
ADC,Reserved
ADD,Allocated
ADE,Allocated
ADF,Reserved
ADG,Reserved
ADH,Reserved
ADI,Reserved
ADJ,Reserved
ADK,Allocated
ADL,Allocated
ADM,Allocated
ADN,Allocated
ADO,Allocated
ADP,Reserved
ADQ,Reserved
ADR,Reserved
ADS,Not Allowed
ADT,Reserved
ADU,Reserved
ADV,Reserved
ADW,Reserved
ADX,Reserved
ADY,Reserved
ADZ,Reserved
AEA,Reserved
AEB,Reserved
AEC,Reserved
AED,Allocated
AEE,Reserved
AEF,Reserved
AEG,Reserved
AEH,Reserved
AEI,Reserved
AEJ,Reserved
