suffix,status
AAA,Reserved
AAB,Reserved
AAC,Available
AAD,Allocated
AAE,Allocated
AAF,Allocated
AAG,Allocated
AAH,Allocated
AAI,Allocated
AAJ,Allocated
AAK,Allocated
AAL,Allocated
AAM,Allocated
AAN,Allocated
AAO,Allocated
AAP,Allocated
AAQ,Allocated
AAR,Allocated
AAS,Allocated
AAT,Allocated
AAU,Allocated
AAV,Allocated
AAW,Allocated
AAX,Allocated
AAY,Allocated
AAZ,Allocated
ABA,Allocated
ABB,Allocated
ABC,Allocated
ABD,Allocated
ABE,Allocated
ABF,Allocated
ABG,Allocated
ABH,Allocated
ABI,Allocated
ABJ,Allocated
ABK,Allocated
ABL,Allocated
ABM,Allocated
ABN,Allocated
ABO,Allocated
ABP,Allocated
ABQ,Allocated
ABR,Allocated
ABS,Allocated
ABT,Allocated
ABU,Allocated
ABV,Allocated
ABW,Allocated
ABX,Allocated
ABY,Allocated
ABZ,Allocated
ACA,Allocated
ACB,Allocated
ACC,Allocated
ACD,Allocated
ACE,Allocated
ACF,Allocated
ACG,Allocated
ACH,Allocated
ACI,Allocated
ACJ,Allocated
ACK,Allocated
ACL,Allocated
ACM,Allocated
ACN,Allocated
ACO,Allocated
ACP,Allocated
ACQ,Allocated
ACR,Allocated
ACS,Allocated
ACT,Available
ACU,Available
ACV,Available
ACW,Available
ACX,Available
ACY,Available
ACZ,Available
ADA,Available
ADB,Available
ADC,Allocated
ADD,Available
ADE,Available
ADF,Available
ADG,Available
ADH,Available
ADI,Available
ADJ,Available
ADK,Available
ADL,Available
ADM,Allocated
ADN,Available
ADO,Available
ADP,Available
ADQ,Available
ADR,Available
ADS,Not Allowed
ADT,Available
ADU,Available
ADV,Available
ADW,Available
ADX,Available
ADY,Available
ADZ,Available
AEA,Available
AEB,Available
AEC,Available
AED,Available
AEE,Available
AEF,Available
AEG,Available
AEH,Available
AEI,Available
AEJ,Available
AEK,Available
AEL,Available
AEM,Available
AEN,Available
AEO,Available
AEP,Available
AEQ,Available
AER,Available
AES,Available
AET,Available
AEU,Available
AEV,Available
